PeakID (cmd=annotatePeaks.pl siBAZ2B_raw_MACS2_Unique_Ctrl.narrowPeak hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
siBAZ2B_3_peak_7017,chr6,74230747,74231110,+,39,NA,promoter-TSS (NM_001402),promoter-TSS (NM_001402),-173,NM_001402,1915,,NM_001402,ENSG00000156508,EEF1A1,CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|EF1A1|EF1alpha1|GRAF-1EF|LENG7|PTI1|eEF1A-1,eukaryotic translation elongation factor 1 alpha 1,protein-coding
siBAZ2B_3_peak_8723,chrX,80065270,80065568,+,39,NA,promoter-TSS (NM_153252),promoter-TSS (NM_153252),-43,NM_153252,254065,,NM_153252,ENSG00000165288,BRWD3,BRODL|MRX93|XLID93,bromodomain and WD repeat domain containing 3,protein-coding
siBAZ2B_3_peak_220,chr1,43232547,43233039,+,39,NA,promoter-TSS (NM_024097),promoter-TSS (NM_024097),-94,NM_022356,64175,,NM_022356,ENSG00000117385,P3H1,GROS1|LEPRE1|OI8,prolyl 3-hydroxylase 1,protein-coding
siBAZ2B_3_peak_6189,chr4,698938,699844,+,39,NA,promoter-TSS (NM_001317836),promoter-TSS (NM_001317836),-230,NM_006315,10336,,NM_006315,ENSG00000185619,PCGF3,DONG1|RNF3|RNF3A,polycomb group ring finger 3,protein-coding
siBAZ2B_3_peak_6141,chr3,183903528,183904288,+,39,NA,promoter-TSS (NM_018358),promoter-TSS (NM_018358),45,NM_018358,55324,,NM_018358,ENSG00000161204,ABCF3,EST201864,ATP binding cassette subfamily F member 3,protein-coding
siBAZ2B_3_peak_5938,chr3,52443776,52444837,+,39,NA,promoter-TSS (NM_001321127),promoter-TSS (NM_001321127),-282,NM_004656,8314,,NM_004656,ENSG00000163930,BAP1,HUCEP-13|KURIS|TPDS1|UBM2|UCHL2|UVM2|hucep-6,BRCA1 associated protein 1,protein-coding
siBAZ2B_3_peak_2674,chr15,64648174,64648795,+,38,NA,promoter-TSS (NM_001329606),promoter-TSS (NM_001329606),-112,NM_001329605,53944,,NM_022048,ENSG00000169118,CSNK1G1,CK1gamma1,casein kinase 1 gamma 1,protein-coding
siBAZ2B_3_peak_731,chr1,228746095,228746423,+,38,NA,promoter-TSS (NR_023363),promoter-TSS (NR_023363),-126,NR_023368,100169757,,NR_023368,ENSG00000200624,RNA5S6,RN5S6,"RNA, 5S ribosomal 6",rRNA
siBAZ2B_3_peak_8702,chrX,62974689,62974987,+,38,NA,"5' UTR (NM_001369034, exon 1 of 11)","5' UTR (NM_001369034, exon 1 of 11)",165,NM_001353926,23229,,NM_015185,ENSG00000131089,ARHGEF9,COLLYBISTIN|DEE8|EIEE8|HPEM-2|PEM-2|PEM2,Cdc42 guanine nucleotide exchange factor 9,protein-coding
siBAZ2B_3_peak_8442,chr9,131450965,131451676,+,38,NA,promoter-TSS (NM_001248001),promoter-TSS (NM_001248001),-181,NM_003011,6418,,NM_003011,ENSG00000119335,SET,2PP2A|I2PP2A|IGAAD|IPP2A2|MRD58|PHAPII|TAF-I|TAF-IBETA,SET nuclear proto-oncogene,protein-coding
siBAZ2B_3_peak_8693,chrX,54834842,54835533,+,38,NA,promoter-TSS (NM_201222),promoter-TSS (NM_201222),-327,NM_201222,10916,,NM_014599,ENSG00000102316,MAGED2,11B6|BARTS5|BCG-1|BCG1|HCA10|MAGE-D2,MAGE family member D2,protein-coding
siBAZ2B_3_peak_4164,chr19,16695335,16695633,+,38,NA,"intron (NM_004831, intron 1 of 2)",L1MC5|LINE|L1,-12258,NM_024881,79939,,NM_024881,ENSG00000127526,SLC35E1,-,solute carrier family 35 member E1,protein-coding
siBAZ2B_3_peak_4185,chr19,17908228,17908554,+,38,NA,"intron (NM_014256, intron 1 of 2)","intron (NM_014256, intron 1 of 2)",2444,NM_014256,10331,,NM_014256,ENSG00000179913,B3GNT3,B3GAL-T8|B3GN-T3|B3GNT-3|HP10328|TMEM3|beta3Gn-T3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3",protein-coding
siBAZ2B_3_peak_7087,chr6,134980699,134981013,+,38,NA,Intergenic,LTR5_Hs|LTR|ERVK,-119713,NR_125856,101928304,,NR_125855,ENSG00000232310,LINC03002,-,long intergenic non-protein coding RNA 3002,ncRNA
siBAZ2B_3_peak_8215,chr9,37903935,37904312,+,38,NA,promoter-TSS (NM_033412),promoter-TSS (NM_033412),1,NM_033412,92014,,NM_033412,ENSG00000122696,SLC25A51,CG7943|MCART1,solute carrier family 25 member 51,protein-coding
siBAZ2B_3_peak_6564,chr5,73936593,73937206,+,38,NA,"non-coding (NR_046318, exon 1 of 2)","non-coding (NR_046318, exon 1 of 2)",350,NM_001256575,8507,,NM_003633,ENSG00000171617,ENC1,CCL28|ENC-1|KLHL35|KLHL37|NRPB|PIG10|TP53I10,ectodermal-neural cortex 1,protein-coding
siBAZ2B_3_peak_7836,chr8,37593938,37594553,+,38,NA,promoter-TSS (NM_001003791),promoter-TSS (NM_001003791),93,NM_001003791,11160,,NM_007175,ENSG00000147475,ERLIN2,C8orf2|Erlin-2|NET32|SPFH2|SPG18|SPG18A|SPG18B,ER lipid raft associated 2,protein-coding
siBAZ2B_3_peak_4731,chr2,32581759,32582617,+,38,NA,promoter-TSS (NM_001378125),promoter-TSS (NM_001378125),92,NM_016252,57448,,NM_016252,ENSG00000115760,BIRC6,APOLLON|BRUCE,baculoviral IAP repeat containing 6,protein-coding
siBAZ2B_3_peak_127,chr1,24306618,24306916,+,38,NA,promoter-TSS (NR_034035).2,promoter-TSS (NR_034035).2,50,NM_001191005,10772,,NM_006625,ENSG00000188529,SRSF10,FUSIP1|FUSIP2|NSSR|PPP1R149|SFRS13|SFRS13A|SRp38|SRrp40|TASR|TASR1|TASR2,serine and arginine rich splicing factor 10,protein-coding
siBAZ2B_3_peak_8423,chr9,130742881,130743179,+,38,NA,"5' UTR (NM_001035254, exon 1 of 11)","5' UTR (NM_001035254, exon 1 of 11)",238,NM_001035254,399665,,NM_203305,ENSG00000167106,EEIG1,C9orf132|FAM102A|SYM-3A|bA203J24.7,estrogen-induced osteoclastogenesis regulator 1,protein-coding
siBAZ2B_3_peak_7665,chr7,140241382,140241680,+,38,NA,"intron (NM_015689, intron 14 of 19)","intron (NM_015689, intron 14 of 19)",60811,NR_134477,27147,,NM_015689,ENSG00000146966,DENND2A,FAM31D|KIAA1277,DENN domain containing 2A,protein-coding
siBAZ2B_3_peak_6703,chr5,138533947,138534379,+,38,NA,promoter-TSS (NM_001037633),promoter-TSS (NM_001037633),-106,NM_022464,64374,,NM_022464,ENSG00000120725,SIL1,BAP|MSS|ULG5,SIL1 nucleotide exchange factor,protein-coding
siBAZ2B_3_peak_7478,chr7,74560857,74561343,+,38,NA,"intron (NM_001003795, intron 15 of 15)",L1PA10|LINE|L1,26702,NR_003187,654817,,NR_003187,ENSG00000165178,NCF1C,SH3PXD1C,neutrophil cytosolic factor 1C (pseudogene),pseudo
siBAZ2B_3_peak_2780,chr15,80445153,80445466,+,38,NA,promoter-TSS (NM_000137),promoter-TSS (NM_000137),-32,NM_000137,2184,,NM_000137,ENSG00000103876,FAH,-,fumarylacetoacetate hydrolase,protein-coding
siBAZ2B_3_peak_7659,chr7,138793737,138794379,+,38,NA,"exon (NM_024625, exon 1 of 9)","exon (NM_024625, exon 1 of 9)",408,NM_024625,56829,,NM_020119,ENSG00000105939,ZC3HAV1,ARTD13|FLB6421|PARP13|ZAP|ZC3H2|ZC3HDC2,"zinc finger CCCH-type containing, antiviral 1",protein-coding
siBAZ2B_3_peak_6719,chr5,140027148,140027706,+,38,NA,promoter-TSS (NM_001185012),promoter-TSS (NM_001185012),-2,NR_037428,100500820,,NR_037428,ENSG00000284325,MIR3655,-,microRNA 3655,ncRNA
siBAZ2B_3_peak_8115,chr8,145669441,145669985,+,38,NA,"intron (NM_013432, intron 1 of 25)",CpG-27458,110,NM_013432,4796,,NM_013432,ENSG00000160949,TONSL,IKBR|NFKBIL2|SEMDSP,"tonsoku like, DNA repair protein",protein-coding
siBAZ2B_3_peak_1538,chr11,71934378,71934676,+,38,NA,Intergenic,CpG,-1284,NM_001567,3636,,NM_001567,ENSG00000165458,INPPL1,OPSMD|SHIP2,inositol polyphosphate phosphatase like 1,protein-coding
siBAZ2B_3_peak_2603,chr15,41158136,41158630,+,38,NA,Intergenic,Intergenic,8049,NM_133639,171177,,NM_133639,ENSG00000104140,RHOV,ARHV|CHP|WRCH2,ras homolog family member V,protein-coding
siBAZ2B_3_peak_812,chr10,6317165,6317503,+,38,NA,Intergenic,Intergenic,-51173,NR_040079,399715,,NR_040079,ENSG00000215244,LINC02649,-,long intergenic non-protein coding RNA 2649,ncRNA
siBAZ2B_3_peak_7731,chr8,609227,609529,+,38,NA,"intron (NM_001303100, intron 5 of 5)","intron (NM_001303100, intron 5 of 5)",71846,NM_207332,157697,,NM_207332,ENSG00000104714,ERICH1,HSPC319,glutamate rich 1,protein-coding
siBAZ2B_3_peak_3131,chr16,57481237,57481556,+,38,NA,promoter-TSS (NM_001308358),promoter-TSS (NM_001308358),5,NM_020312,57017,,NM_020312,ENSG00000088682,COQ9,C16orf49|COQ10D5,coenzyme Q9,protein-coding
siBAZ2B_3_peak_5003,chr2,114195093,114195582,+,38,NA,promoter-TSS (NR_138473),promoter-TSS (NR_138473),69,NM_001330340,150472,,NM_172003,ENSG00000136682,ZNG1B,CBWD2,Zn regulated GTPase metalloprotein activator 1B,protein-coding
siBAZ2B_3_peak_2524,chr14,105146729,105147197,+,38,NA,Intergenic,Intergenic,-2877,NR_039860,100616300,,NR_039860,ENSG00000265291,MIR4710,mir-4710,microRNA 4710,ncRNA
siBAZ2B_3_peak_3618,chr17,45908610,45908940,+,38,NA,promoter-TSS (NM_033413),promoter-TSS (NM_033413),132,NM_145255,124995,,NM_145255,ENSG00000159111,MRPL10,L10MT|MRP-L10|MRP-L8|MRPL8|RPML8|uL10m,mitochondrial ribosomal protein L10,protein-coding
siBAZ2B_3_peak_1356,chr11,58874280,58874768,+,38,NA,promoter-TSS (NM_198947),promoter-TSS (NM_198947),-134,NM_001142704,374393,,NM_198947,ENSG00000189057,FAM111B,CANP|POIKTMP,FAM111 trypsin like peptidase B,protein-coding
siBAZ2B_3_peak_6109,chr3,159480889,159481464,+,38,NA,"intron (NM_001197108, intron 1 of 6)",CpG,5225,NR_121669,100874433,,NR_121669,,IQCJ-SCHIP1-AS1,uaz98,IQCJ-SCHIP1 readthrough antisense RNA 1,ncRNA
siBAZ2B_3_peak_2437,chr14,77422929,77423438,+,38,NA,Intergenic,Intergenic,-2798,NR_133913,105370578,,NR_133913,ENSG00000258602,LINC01629,linc-KIAA1737-2,long intergenic non-protein coding RNA 1629,ncRNA
siBAZ2B_3_peak_400,chr1,148000253,148000664,+,38,NA,"intron (NR_148945, intron 1 of 1)",CpG,6312,NR_104086,101954277,,NR_104086,ENSG00000275538,RNVU1-19,RNU1-126|RNU1-147|RNVU1-13|vU1.13|vU1.19,"RNA, variant U1 small nuclear 19",snRNA
siBAZ2B_3_peak_4485,chr19,49436647,49437144,+,38,NA,promoter-TSS (NM_014475),promoter-TSS (NM_014475),-61,NM_014475,27294,,NM_014475,ENSG00000104808,DHDH,2DD|HUM2DD,dihydrodiol dehydrogenase,protein-coding
siBAZ2B_3_peak_950,chr10,73610735,73611366,+,38,NA,promoter-TSS (NM_002778),promoter-TSS (NM_002778),-42,NM_002778,5660,,NM_002778,ENSG00000197746,PSAP,GLBA|PARK24|PSAPD|SAP1|SAP2,prosaposin,protein-coding
siBAZ2B_3_peak_6216,chr4,6271292,6271710,+,38,NA,promoter-TSS (NM_001145853),promoter-TSS (NM_001145853),-76,NM_001145853,7466,,NM_006005,ENSG00000109501,WFS1,CTRCT41|WFRS|WFS|WFSL,wolframin ER transmembrane glycoprotein,protein-coding
siBAZ2B_3_peak_6085,chr3,149375740,149376120,+,38,NA,promoter-TSS (NM_001168280),promoter-TSS (NM_001168280),-67,NR_040250,100128025,,NR_040250,ENSG00000241313,WWTR1-AS1,-,WWTR1 antisense RNA 1,ncRNA
siBAZ2B_3_peak_7012,chr6,64281960,64282298,+,38,NA,promoter-TSS (NM_001385262),promoter-TSS (NM_001385262),-256,NR_169593,7803,,NM_003463,ENSG00000112245,PTP4A1,HH72|PRL-1|PRL1|PTP(CAAX1)|PTPCAAX1,protein tyrosine phosphatase 4A1,protein-coding
siBAZ2B_3_peak_5341,chr20,6103582,6104077,+,38,NA,promoter-TSS (NM_017671),promoter-TSS (NM_017671),-152,NM_017671,55612,,NM_017671,ENSG00000101311,FERMT1,C20orf42|DTGCU2|KIND1|UNC112A|URP1,FERM domain containing kindlin 1,protein-coding
siBAZ2B_3_peak_991,chr10,89577873,89578354,+,37,NA,promoter-TSS (NR_028492),promoter-TSS (NR_028492),43,NR_028492,142913,,NM_152427,ENSG00000290782,CFL1P1,CFLP1,cofilin 1 pseudogene 1,pseudo
siBAZ2B_3_peak_5032,chr2,128615493,128616234,+,37,NA,promoter-TSS (NM_004805),promoter-TSS (NM_004805),-134,NM_004805,5433,,NM_004805,ENSG00000144231,POLR2D,HSRBP4|HSRPB4|RBP4|RPB16|RPB4,RNA polymerase II subunit D,protein-coding
siBAZ2B_3_peak_4090,chr19,8386332,8386630,+,37,NA,promoter-TSS (NR_135539),promoter-TSS (NR_135539),101,NM_001031,6234,,NM_001031,ENSG00000233927,RPS28,DBA15|S28|eS28,ribosomal protein S28,protein-coding
siBAZ2B_3_peak_6292,chr4,76555511,76555809,+,37,NA,promoter-TSS (NM_003948),promoter-TSS (NM_003948),52,NM_001330724,8999,,NM_003948,ENSG00000138769,CDKL2,KKIAMRE|P56,cyclin dependent kinase like 2,protein-coding
siBAZ2B_3_peak_1950,chr12,69080563,69080861,+,37,NA,promoter-TSS (NM_001330192),promoter-TSS (NM_001330192),-46,NM_001330192,57122,,NM_020401,ENSG00000111581,NUP107,NPHS11|NUP84|ODG6|ODG6; GAMOS7,nucleoporin 107,protein-coding
siBAZ2B_3_peak_5126,chr2,190525929,190526227,+,37,NA,promoter-TSS (NM_019048),promoter-TSS (NM_019048),-47,NM_001353494,110599588,,NM_001353493,ENSG00000286053,ASDURF,ASNSD1|ASNSD1-SEP|NS3TP1,ASNSD1 upstream open reading frame,protein-coding
siBAZ2B_3_peak_2714,chr15,71184730,71185059,+,37,NA,promoter-TSS (NM_017691),promoter-TSS (NM_017691),112,NM_001199017,54839,,NM_017691,ENSG00000137821,LRRC49,CSTPP2|PGs4,leucine rich repeat containing 49,protein-coding
siBAZ2B_3_peak_1804,chr12,46662560,46663138,+,37,NA,promoter-TSS (NM_001278388),promoter-TSS (NM_001278388),-23,NM_001278388,81539,,NM_030674,ENSG00000111371,SLC38A1,ATA1|NAT2|SAT1|SNAT1,solute carrier family 38 member 1,protein-coding
siBAZ2B_3_peak_3696,chr17,58041929,58042434,+,37,NA,promoter-TSS (NR_110816),promoter-TSS (NR_110816),-80,NM_016125,51136,,NM_016125,ENSG00000189050,RNFT1,PTD016,"ring finger protein, transmembrane 1",protein-coding
siBAZ2B_3_peak_7944,chr8,87706272,87706570,+,37,NA,"intron (NM_019098, intron 3 of 17)",SVA_D|Other|Other,49441,NM_019098,54714,,NM_019098,ENSG00000170289,CNGB3,ACHM1,cyclic nucleotide gated channel subunit beta 3,protein-coding
siBAZ2B_3_peak_3551,chr17,40574918,40575354,+,37,NA,"5' UTR (NM_012232, exon 1 of 2)","5' UTR (NM_012232, exon 1 of 2)",138,NM_012232,284119,,NM_012232,ENSG00000177469,CAVIN1,CAVIN|CGL4|FKSG13|PTRF|cavin-1,caveolae associated protein 1,protein-coding
siBAZ2B_3_peak_4845,chr2,68479653,68480009,+,37,NA,promoter-TSS (NM_000945),promoter-TSS (NM_000945),-167,NM_000945,5534,,NM_000945,ENSG00000221823,PPP3R1,CALNB1|CNB|CNB1,"protein phosphatase 3 regulatory subunit B, alpha",protein-coding
siBAZ2B_3_peak_1407,chr11,63438842,63439140,+,37,NA,promoter-TSS (NM_015459),promoter-TSS (NM_015459),-143,NM_015459,25923,,NM_015459,ENSG00000184743,ATL3,HSN1F,atlastin GTPase 3,protein-coding
siBAZ2B_3_peak_1678,chr11,134123220,134123631,+,37,NA,promoter-TSS (NM_199298),promoter-TSS (NM_199298),-37,NM_014384,27034,,NM_014384,ENSG00000151498,ACAD8,ACAD-8|ARC42|IBDH,acyl-CoA dehydrogenase family member 8,protein-coding
siBAZ2B_3_peak_122,chr1,23730311,23730795,+,37,NA,"intron (NM_003196, intron 5 of 10)","intron (NM_003196, intron 5 of 10)",20688,NM_003196,6920,,NM_003196,ENSG00000204219,TCEA3,TFIIS|TFIIS.H,transcription elongation factor A3,protein-coding
siBAZ2B_3_peak_1500,chr11,67147015,67147356,+,37,NA,"intron (NR_024469, intron 2 of 3)","intron (NR_024469, intron 2 of 3)",-5537,NM_001166212,23529,,NM_013246,ENSG00000175505,CLCF1,BSF-3|BSF3|CISS2|CLC|NNT-1|NNT1|NR6,cardiotrophin like cytokine factor 1,protein-coding
siBAZ2B_3_peak_8678,chrX,49056267,49056766,+,37,NA,"intron (NR_046649, intron 1 of 1)",CpG,136,NM_003179,6855,,NM_003179,ENSG00000102003,SYP,MRX96|MRXSYP|XLID96,synaptophysin,protein-coding
siBAZ2B_3_peak_2670,chr15,63569243,63569541,+,37,NA,promoter-TSS (NM_001145646),promoter-TSS (NM_001145646),-357,NM_001145646,83464,,NM_031301,ENSG00000138613,APH1B,APH-1B|PRO1328|PSFL|TAAV688|aph-1beta,"aph-1 homolog B, gamma-secretase subunit",protein-coding
siBAZ2B_3_peak_4895,chr2,75873918,75874308,+,37,NA,"intron (NM_014763, intron 1 of 5)",CpG,204,NM_014763,9801,,NM_014763,ENSG00000115364,MRPL19,L15mt|L19mt|MRP-L15|MRP-L19|MRPL15|RLX1|RPML15|bL19m,mitochondrial ribosomal protein L19,protein-coding
siBAZ2B_3_peak_5580,chr21,43099001,43099299,+,37,NA,promoter-TSS (NR_024367),promoter-TSS (NR_024367),-312,NR_024367,54090,,NR_024367,,LINC00111,C21orf21|NCRNA00111,long intergenic non-protein coding RNA 111,ncRNA
siBAZ2B_3_peak_187,chr1,33592861,33593248,+,37,NA,Intergenic,CpG,45275,NR_126031,113451,,NM_052998,ENSG00000142920,AZIN2,ADC|AZI2|AZIB1|ODC-p|ODC1L|ODCp,antizyme inhibitor 2,protein-coding
siBAZ2B_3_peak_2837,chr15,90645382,90645964,+,37,NA,promoter-TSS (NM_002168),promoter-TSS (NM_002168),27,NM_001290114,3418,,NM_002168,ENSG00000182054,IDH2,D2HGA2|ICD-M|IDH|IDH-2|IDHM|IDP|IDPM|mNADP-IDH,isocitrate dehydrogenase (NADP(+)) 2,protein-coding
siBAZ2B_3_peak_4385,chr19,44285069,44285367,+,37,NA,promoter-TSS (NM_002250),promoter-TSS (NM_002250),-93,NM_002250,3783,,NM_002250,ENSG00000104783,KCNN4,DHS2|IK|IK1|IKCA1|KCA4|KCa3.1|SK4|hIKCa1|hKCa4|hSK4,potassium calcium-activated channel subfamily N member 4,protein-coding
siBAZ2B_3_peak_6939,chr6,33393546,33393974,+,37,NA,"intron (NM_001130066, intron 3 of 17).2",CpG,5918,NM_001130066,8831,,NM_006772,ENSG00000197283,SYNGAP1,MRD5|RASA1|RASA5|SYNGAP,synaptic Ras GTPase activating protein 1,protein-coding
siBAZ2B_3_peak_1665,chr11,126173820,126174179,+,37,NA,promoter-TSS (NM_001350236),promoter-TSS (NM_001350236),44,NM_014026,28960,,NM_014026,ENSG00000110063,DCPS,ARS|DCS1|HINT-5|HINT5|HSL1|HSPC015,"decapping enzyme, scavenger",protein-coding
siBAZ2B_3_peak_4977,chr2,105654151,105654517,+,37,NA,promoter-TSS (NM_182640),promoter-TSS (NM_182640),-193,NM_182640,64965,,NM_182640,ENSG00000135972,MRPS9,MRP-S9|RPMS9|S9mt|uS9m,mitochondrial ribosomal protein S9,protein-coding
siBAZ2B_3_peak_5433,chr20,36793772,36794085,+,37,NA,promoter-TSS (NM_001323318),promoter-TSS (NM_001323318),-256,NM_001323318,7052,,NM_004613,ENSG00000198959,TGM2,G(h)|TG(C)|TGC|hTG2|tTG,transglutaminase 2,protein-coding
siBAZ2B_3_peak_7339,chr7,22122675,22122973,+,37,NA,Intergenic,CpG,110539,NM_001367603,9771,,NM_012294,ENSG00000136237,RAPGEF5,GFR|MR-GEF|MRGEF|REPAC,Rap guanine nucleotide exchange factor 5,protein-coding
siBAZ2B_3_peak_3520,chr17,37729882,37730193,+,37,NA,Intergenic,CpG,34136,NM_006160,4761,,NM_006160,ENSG00000171532,NEUROD2,DEE72|EIEE72|NDRF|bHLHa1,neuronal differentiation 2,protein-coding
siBAZ2B_3_peak_2665,chr15,62352309,62352961,+,37,NA,promoter-TSS (NM_017684),promoter-TSS (NM_017684),11,NM_017684,54832,,NM_017684,ENSG00000129003,VPS13C,BLTP5C|PARK23,vacuolar protein sorting 13 homolog C,protein-coding
siBAZ2B_3_peak_1851,chr12,53298528,53298826,+,37,NA,"exon (NM_002273, exon 1 of 8)","exon (NM_002273, exon 1 of 8)",183,NM_002273,3856,,NM_002273,ENSG00000170421,KRT8,CARD2|CK-8|CK8|CYK8|K2C8|K8|KO,keratin 8,protein-coding
siBAZ2B_3_peak_7109,chr6,154831393,154831958,+,37,NA,promoter-TSS (NM_001368116),promoter-TSS (NM_001368116),144,NM_001368117,154043,,NM_173515,ENSG00000153721,CNKSR3,CNK3|CNK3/IPCEF1|MAGI1,CNKSR family member 3,protein-coding
siBAZ2B_3_peak_6906,chr6,27219032,27219603,+,37,NA,"intron (NM_005865, intron 7 of 11)",CpG-22886,3837,NM_005865,10279,,NM_005865,ENSG00000112812,PRSS16,TSSP,serine protease 16,protein-coding
siBAZ2B_3_peak_8186,chr9,34458331,34458784,+,36,NA,promoter-TSS (NM_001281428),promoter-TSS (NM_001281428),11,NM_001184943,203259,,NM_147202,ENSG00000164970,FAM219A,C9orf25,family with sequence similarity 219 member A,protein-coding
siBAZ2B_3_peak_4559,chr19,55658054,55658568,+,36,NA,"intron (NM_003283, intron 3 of 13)","intron (NM_003283, intron 3 of 13)",2263,NM_003283,7138,,NM_003283,ENSG00000105048,TNNT1,ANM|NEM5|STNT|TNT|TNTS,"troponin T1, slow skeletal type",protein-coding
siBAZ2B_3_peak_8094,chr8,144717794,144718238,+,36,NA,promoter-TSS (NM_001261843),promoter-TSS (NM_001261843),-173,NM_001261843,9831,,NM_014789,ENSG00000183309,ZNF623,-,zinc finger protein 623,protein-coding
siBAZ2B_3_peak_2479,chr14,96505772,96506070,+,36,NA,"intron (NM_001282464, intron 1 of 2)",CpG,222,NM_001289139,56967,,NM_020215,ENSG00000227051,C14orf132,C14orf88,chromosome 14 open reading frame 132,protein-coding
siBAZ2B_3_peak_5396,chr20,31063076,31063592,+,36,NA,"intron (NM_001256798, intron 4 of 10)","intron (NM_001256798, intron 4 of 10)",7959,NM_080616,140688,,NM_080616,ENSG00000197183,NOL4L,C20orf112|C20orf113,nucleolar protein 4 like,protein-coding
siBAZ2B_3_peak_3974,chr18,74813243,74813983,+,36,NA,"intron (NM_001025101, intron 2 of 8)","intron (NM_001025101, intron 2 of 8)",31126,NM_001025100,4155,,NM_002385,ENSG00000197971,MBP,-,myelin basic protein,protein-coding
siBAZ2B_3_peak_7871,chr8,49426545,49427120,+,36,NA,Intergenic,Intergenic,-37295,NR_105002,101929268,,NR_105002,ENSG00000253608,LOC101929268,-,uncharacterized LOC101929268,ncRNA
siBAZ2B_3_peak_3004,chr16,14379422,14379789,+,36,NA,Intergenic,CpG,-16540,NR_132983,100129781,,NR_132983,ENSG00000262454,MIR193BHG,HypERlnc|lincNORS,MIR193b-365a host gene,ncRNA
siBAZ2B_3_peak_7380,chr7,36168345,36168843,+,36,NA,Intergenic,Intergenic,-24269,NM_030636,80820,,NM_030636,ENSG00000122547,EEPD1,HSPC107,endonuclease/exonuclease/phosphatase family domain containing 1,protein-coding
siBAZ2B_3_peak_7235,chr6_qbl_hap6,2012848,2013397,+,36,NA,Intergenic,Intergenic,-7869,NM_003897,8870,,NM_003897,ENSG00000137331,IER3,DIF-2|DIF2|GLY96|IEX-1|IEX-1L|IEX1|PRG1,immediate early response 3,protein-coding
siBAZ2B_3_peak_46,chr1,6639763,6640185,+,36,NA,promoter-TSS (NM_001278648),promoter-TSS (NM_001278648),-80,NM_001278648,3104,,NM_005341,ENSG00000204859,ZBTB48,HKR3|TZAP|ZNF855|pp9964,zinc finger and BTB domain containing 48,protein-coding
siBAZ2B_3_peak_8846,chrY,58996543,58996891,+,36,NA,Intergenic,BSR/Beta|Satellite|Satellite,-103686,NM_005840,10251,,NM_005840,ENSG00000168939,SPRY3,spry-3,sprouty RTK signaling antagonist 3,protein-coding
siBAZ2B_3_peak_342,chr1,109825697,109826168,+,36,NA,promoter-TSS (NM_001350242),promoter-TSS (NM_001350242),-142,NM_032636,84722,,NM_032636,ENSG00000134222,PSRC1,DDA3|FP3214,proline and serine rich coiled-coil 1,protein-coding
siBAZ2B_3_peak_496,chr1,156561350,156561735,+,36,NA,promoter-TSS (NM_144772),promoter-TSS (NM_144772),-26,NM_144772,128240,,NM_144772,ENSG00000163382,NAXE,AIBP|APOA1BP|PEBEL|YJEFN1,NAD(P)HX epimerase,protein-coding
siBAZ2B_3_peak_157,chr1,27425919,27426474,+,36,NA,"non-coding (NR_046474, exon 11 of 11)","non-coding (NR_046474, exon 11 of 11)",55420,NM_003047,6548,,NM_003047,ENSG00000090020,SLC9A1,APNH|LIKNS|NHE-1|NHE1|PPP1R143,solute carrier family 9 member A1,protein-coding
siBAZ2B_3_peak_1364,chr11,60609406,60609916,+,36,NA,promoter-TSS (NM_024098),promoter-TSS (NM_024098),75,NM_024098,79080,,NM_024098,ENSG00000110104,CCDC86,Cgr1,coiled-coil domain containing 86,protein-coding
siBAZ2B_3_peak_3676,chr17,55945460,55945767,+,36,NA,"intron (NM_001271875, intron 7 of 10)","intron (NM_001271875, intron 7 of 10)",-18208,NM_016070,51649,,NM_016070,ENSG00000181610,MRPS23,CGI-138|COXPD46|HSPC329|MRP-S23|mS23,mitochondrial ribosomal protein S23,protein-coding
siBAZ2B_3_peak_5788,chr3,10233701,10233999,+,36,NA,"intron (NM_001570, intron 2 of 12)","intron (NM_001570, intron 2 of 12)",27247,NM_001570,3656,,NM_001570,ENSG00000134070,IRAK2,IRAK-2,interleukin 1 receptor associated kinase 2,protein-coding
siBAZ2B_3_peak_547,chr1,167905500,167906326,+,36,NA,promoter-TSS (NR_026550),"intron (NM_001349774, intron 1 of 19)",116,NM_001349773,55827,,NM_018442,ENSG00000143164,DCAF6,1200006M05Rik|ARCAP|IQWD1|MSTP055|NRIP|PC326,DDB1 and CUL4 associated factor 6,protein-coding
siBAZ2B_3_peak_6393,chr4,151936894,151937253,+,36,NA,promoter-TSS (NM_001367550),promoter-TSS (NM_001367550),-194,NM_001367550,987,,NM_006726,ENSG00000198589,LRBA,BGL|CDC4L|CVID8|LAB300|LBA|uc.147,LPS responsive beige-like anchor protein,protein-coding
siBAZ2B_3_peak_4750,chr2,38978072,38978731,+,36,NA,"5' UTR (NM_001031684, exon 1 of 8)","5' UTR (NM_001031684, exon 1 of 8)",102,NM_001031684,6432,,NM_006276,ENSG00000115875,SRSF7,9G8|AAG3|SFRS7,serine and arginine rich splicing factor 7,protein-coding
