PeakID (cmd=annotatePeaks.pl siBAZ2B_siControl_raw_MACS2_overlap.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
siBAZ2B_3_peak_71,chr1,10270134,10270550,+,48,NA,promoter-TSS (NM_001365951),promoter-TSS (NM_001365951),-286,NM_183416,23095,,NM_015074,ENSG00000054523,KIF1B,CMT2|CMT2A|CMT2A1|HMSNII|KLP|NBLST1,kinesin family member 1B,protein-coding
siBAZ2B_3_peak_1405,chr11,62648486,62649181,+,48,NA,promoter-TSS (NR_037193),promoter-TSS (NR_037193),-338,NR_037193,6520,,NM_002394,ENSG00000168003,SLC3A2,4F2|4F2HC|4T2HC|CD98|CD98HC|MDU1|NACAE,solute carrier family 3 member 2,protein-coding
siBAZ2B_3_peak_132,chr1,24829265,24829631,+,48,NA,promoter-TSS (NR_045407),promoter-TSS (NR_045407),61,NM_001251983,11123,,NM_013441,ENSG00000117602,RCAN3,DSCR1L2|MCIP3|RCN3|hRCN3,RCAN family member 3,protein-coding
siBAZ2B_3_peak_6691,chr5,134240266,134240605,+,48,NA,promoter-TSS (NM_032151),promoter-TSS (NM_032151),-386,NM_032151,84105,,NM_032151,ENSG00000132570,PCBD2,DCOH2|DCOHM|PHS2,pterin-4 alpha-carbinolamine dehydratase 2,protein-coding
siBAZ2B_3_peak_6970,chr6,41701674,41702511,+,48,NA,promoter-TSS (NM_001271945),promoter-TSS (NM_001271945),47,NM_001271945,7942,,NM_007162,ENSG00000112561,TFEB,ALPHATFEB|BHLHE35|TCFEB,transcription factor EB,protein-coding
siBAZ2B_3_peak_2738,chr15,75248842,75249723,+,48,NA,promoter-TSS (NM_017793),promoter-TSS (NM_017793),-169,NM_017793,54913,,NM_017793,ENSG00000178718,RPP25,-,ribonuclease P and MRP subunit p25,protein-coding
siBAZ2B_3_peak_6825,chr5,176797701,176798132,+,48,NA,"exon (NM_006480, exon 11 of 15)","exon (NM_006480, exon 11 of 15)",12991,NM_001366618,10636,,NM_006480,ENSG00000169220,RGS14,-,regulator of G protein signaling 14,protein-coding
siBAZ2B_3_peak_4050,chr19,4342538,4343542,+,48,NA,promoter-TSS (NM_032868),promoter-TSS (NM_032868),-484,NM_032868,84954,,NM_032868,ENSG00000008382,MPND,-,MPN domain containing,protein-coding
siBAZ2B_3_peak_661,chr1,206808694,206809029,+,47,NA,promoter-TSS (NM_003582),promoter-TSS (NM_003582),-20,NM_003582,8444,,NM_003582,ENSG00000143479,DYRK3,DYRK5|RED|REDK|hYAK3-2,dual specificity tyrosine phosphorylation regulated kinase 3,protein-coding
siBAZ2B_3_peak_1866,chr12,53845682,53845980,+,47,NA,promoter-TSS (NM_001128914),promoter-TSS (NM_001128914),-55,NM_001098620,5094,,NM_005016,ENSG00000197111,PCBP2,HNRNPE2|HNRPE2|hnRNP-E2,poly(rC) binding protein 2,protein-coding
siBAZ2B_3_peak_712,chr1,226249767,226250372,+,47,NA,promoter-TSS (NR_002315),promoter-TSS (NR_002315),-79,NM_001379047,3020,,NM_002107,ENSG00000163041,H3-3A,BRYLIB1|H3-3B|H3.3A|H3F3|H3F3A,H3.3 histone A,protein-coding
siBAZ2B_3_peak_7982,chr8,101964326,101965060,+,47,NA,promoter-TSS (NM_145690),promoter-TSS (NM_145690),-445,NM_145690,7534,,NM_003406,ENSG00000164924,YWHAZ,14-3-3-zeta|HEL-S-3|HEL-S-93|HEL4|KCIP-1|POPCHAS|YWHAD,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,protein-coding
siBAZ2B_3_peak_181,chr1,32816809,32817107,+,47,NA,Intergenic,Intergenic,10886,NM_001167676,100128071,,NM_001167676,ENSG00000225828,FAM229A,-,family with sequence similarity 229 member A,protein-coding
siBAZ2B_3_peak_6223,chr4,7069612,7070296,+,47,NA,promoter-TSS (NM_025196),promoter-TSS (NM_025196),-163,NM_025196,80273,,NM_025196,ENSG00000109519,GRPEL1,GrpE|HMGE|mt-GrpE#1,"GrpE like 1, mitochondrial",protein-coding
siBAZ2B_3_peak_4965,chr2,100106285,100106935,+,47,NA,promoter-TSS (NM_001037872),promoter-TSS (NM_001037872),-131,NR_135653,51455,,NM_016316,ENSG00000135945,REV1,AIBP80|REV1L,REV1 DNA directed polymerase,protein-coding
siBAZ2B_3_peak_6555,chr5,71228578,71229108,+,47,NA,Intergenic,Intergenic,-174459,NM_005909,4131,,NM_005909,ENSG00000131711,MAP1B,DFNA83|FUTSCH|MAP5|PPP1R102|PVNH9,microtubule associated protein 1B,protein-coding
siBAZ2B_3_peak_4830,chr2,64751073,64751961,+,47,NA,promoter-TSS (NM_001375971),promoter-TSS (NM_001375971),55,NM_001375969,54812,,NM_017657,ENSG00000119844,AFTPH,Nbla10388,aftiphilin,protein-coding
siBAZ2B_3_peak_5734,chr22,41985691,41986275,+,47,NA,promoter-TSS (NM_002676),promoter-TSS (NM_002676),-139,NM_002676,5372,,NM_002676,ENSG00000100417,PMM1,PMM 1|PMMH-22|Sec53,phosphomannomutase 1,protein-coding
siBAZ2B_3_peak_3508,chr17,36413215,36413608,+,47,NA,promoter-TSS (NR_036750),promoter-TSS (NR_036750),-155,NR_036750,440434,,NR_036750,ENSG00000291088,NPEPPSP1,NPEPPSL1,NPEPPS pseudogene 1,pseudo
siBAZ2B_3_peak_2918,chr16,1728130,1728803,+,47,NA,TTS (NM_020825),TTS (NM_020825),186,NM_144570,90861,,NM_144570,ENSG00000206053,JPT2,C16orf34|HN1L|L11,Jupiter microtubule associated homolog 2,protein-coding
siBAZ2B_3_peak_5250,chr2,233414945,233415790,+,47,NA,promoter-TSS (NM_001282958),promoter-TSS (NM_001282958),-32,NM_004846,9470,,NM_004846,ENSG00000135930,EIF4E2,4E-LP|4EHP|EIF4EL3|IF4e|h4EHP,eukaryotic translation initiation factor 4E family member 2,protein-coding
siBAZ2B_3_peak_5260,chr2,237678663,237679225,+,47,NA,Intergenic,Intergenic,200476,NM_020311,57007,,NM_020311,ENSG00000144476,ACKR3,CMKOR1|CXC-R7|CXCR-7|CXCR7|GPR159|RDC-1|RDC1,atypical chemokine receptor 3,protein-coding
siBAZ2B_3_peak_7290,chr7,1560339,1560680,+,47,NA,Intergenic,MLT1G3|LTR|ERVL-MaLR,-9829,NM_002360,7975,,NM_002360,ENSG00000198517,MAFK,NFE2U|P18,MAF bZIP transcription factor K,protein-coding
siBAZ2B_3_peak_4314,chr19,40023218,40023597,+,47,NA,promoter-TSS (NM_152361),promoter-TSS (NM_152361),85,NM_152361,126272,,NM_152361,ENSG00000176401,EID2B,EID-2B|EID-3,EP300 interacting inhibitor of differentiation 2B,protein-coding
siBAZ2B_3_peak_2834,chr15,90411474,90412089,+,47,NA,"intron (NR_023361, intron 5 of 6)",SVA_F|Other|Other,15481,NR_049807,100846993,,NR_049807,ENSG00000264796,MIR5009,-,microRNA 5009,ncRNA
siBAZ2B_3_peak_5606,chr21,47454301,47454950,+,47,NA,Intergenic,Intergenic,52941,NM_001848,1291,,NM_001848,ENSG00000142156,COL6A1,BTHLM1|BTHLM1A|OPLL|UCHMD1|UCHMD1A,collagen type VI alpha 1 chain,protein-coding
siBAZ2B_3_peak_471,chr1,155197273,155197574,+,47,NA,promoter-TSS (NR_002188),promoter-TSS (NR_002188),-98,NR_002188,2630,,NR_002188,ENSG00000291137,GBA1LP,Beta-GC|GBA|GBAP|GBAP1|GC|GLUC,"glucosylceramidase beta 1 like, pseudogene",pseudo
siBAZ2B_3_peak_3276,chr16,89939669,89940952,+,47,NA,"intron (NM_014972, intron 1 of 17)",CpG,310,NM_014972,22980,,NM_014972,ENSG00000141002,TCF25,FKSG26|Hulp1|NULP1|PRO2620|hKIAA1049,transcription factor 25,protein-coding
siBAZ2B_3_peak_3897,chr18,3623746,3624247,+,47,NA,"intron (NM_001003809, intron 4 of 9)","intron (NM_001003809, intron 4 of 9)",20261,NR_119377,84777,,NM_032691,,DLGAP1-AS2,DLPAP1-AS2,DLGAP1 antisense RNA 2,ncRNA
siBAZ2B_3_peak_80,chr1,15850782,15851391,+,47,NA,promoter-TSS (NM_001278054),promoter-TSS (NM_001278054),-146,NR_102732,842,,NM_001229,ENSG00000132906,CASP9,APAF-3|APAF3|ICE-LAP6|MCH6|PPP1R56,caspase 9,protein-coding
siBAZ2B_3_peak_2345,chr14,45603402,45603817,+,47,NA,promoter-TSS (NM_002013),promoter-TSS (NM_002013),75,NM_002013,2287,,NM_002013,ENSG00000100442,FKBP3,FKBP-25|FKBP-3|FKBP25|PPIase,FKBP prolyl isomerase 3,protein-coding
siBAZ2B_3_peak_7763,chr8,11659779,11660563,+,46,NA,promoter-TSS (NM_001287756),promoter-TSS (NM_001287756),51,NM_001287745,2222,,NM_004462,ENSG00000079459,FDFT1,DGPT|ERG9|SQS|SQSD|SS,farnesyl-diphosphate farnesyltransferase 1,protein-coding
siBAZ2B_3_peak_1496,chr11,67084754,67085266,+,46,NA,promoter-TSS (NR_024469),promoter-TSS (NR_024469),-300,NR_024469,100130987,,NR_024469,,LOC100130987,-,uncharacterized LOC100130987,ncRNA
siBAZ2B_3_peak_5316,chr20,3387860,3388180,+,46,NA,"intron (NM_001009984, intron 1 of 36)",CpG,289,NM_001009984,25943,,NM_001009984,ENSG00000088854,DNAAF9,C20orf194,dynein axonemal assembly factor 9,protein-coding
siBAZ2B_3_peak_4929,chr2,92269315,92269613,+,46,NA,Intergenic,HSATII|Satellite|Satellite,140305,NR_027714,440888,,NM_001032412,,ACTR3BP2,FKSG73,ACTR3B pseudogene 2,pseudo
siBAZ2B_3_peak_2101,chr12,122186662,122187022,+,46,NA,"intron (NM_001080825, intron 3 of 11)","intron (NM_001080825, intron 3 of 11)",36184,NM_001080825,144404,,NM_001080825,ENSG00000188735,TMEM120B,-,transmembrane protein 120B,protein-coding
siBAZ2B_3_peak_47,chr1,6673314,6673789,+,46,NA,promoter-TSS (NM_153812),promoter-TSS (NM_153812),-240,NM_153812,148479,,NM_153812,ENSG00000116273,PHF13,PHF5|SPOC1,PHD finger protein 13,protein-coding
siBAZ2B_3_peak_7829,chr8,29940012,29940897,+,46,NA,"exon (NM_016127, exon 1 of 6)","exon (NM_016127, exon 1 of 6)",126,NM_016127,51669,,NM_016127,ENSG00000133872,SARAF,FOAP-7|HSPC035|TMEM66|XTP3,store-operated calcium entry associated regulatory factor,protein-coding
siBAZ2B_3_peak_6220,chr4,6784433,6784920,+,46,NA,"intron (NM_001100590, intron 1 of 8)",CpG,217,NM_001100590,9778,,NM_014743,ENSG00000170871,KIAA0232,-,KIAA0232,protein-coding
siBAZ2B_3_peak_947,chr10,73078916,73079655,+,46,NA,"5' UTR (NM_001363518, exon 1 of 6)","5' UTR (NM_001363518, exon 1 of 6)",269,NM_018344,55315,,NM_018344,ENSG00000198246,SLC29A3,ENT3|HCLAP|HJCD|PHID,solute carrier family 29 member 3,protein-coding
siBAZ2B_3_peak_5437,chr20,37590928,37591293,+,46,NA,"intron (NM_001190809, intron 1 of 20)",CpG,123,NM_021931,60625,,NM_021931,ENSG00000101452,DHX35,C20orf15|DDX35|KAIA0875,DEAH-box helicase 35,protein-coding
siBAZ2B_3_peak_8660,chrX,48534847,48535311,+,46,NA,Intergenic,CpG,-7109,NM_000377,7454,,NM_000377,ENSG00000015285,WAS,IMD2|SCNX|THC|THC1|WASP|WASPA,WASP actin nucleation promoting factor,protein-coding
siBAZ2B_3_peak_3290,chr17,1014397,1014881,+,46,NA,"intron (NM_021962, intron 2 of 22)","intron (NM_021962, intron 2 of 22)",-2297,NM_001092,29,,NM_001092,ENSG00000159842,ABR,MDB,ABR activator of RhoGEF and GTPase,protein-coding
siBAZ2B_3_peak_2167,chr13,21750532,21750984,+,46,NA,promoter-TSS (NM_001166017),promoter-TSS (NM_001166017),-39,NM_024026,78988,,NM_024026,ENSG00000173141,MRPL57,MRP63|bMRP63|mL63,mitochondrial ribosomal protein L57,protein-coding
siBAZ2B_3_peak_2383,chr14,62161748,62162576,+,46,NA,promoter-TSS (NM_001530),promoter-TSS (NM_001530),-69,NM_001530,3091,,NM_001530,ENSG00000100644,HIF1A,HIF-1-alpha|HIF-1A|HIF-1alpha|HIF1|HIF1-ALPHA|MOP1|PASD8|bHLHe78,hypoxia inducible factor 1 subunit alpha,protein-coding
siBAZ2B_3_peak_3072,chr16,30538324,30538920,+,46,NA,promoter-TSS (NM_024671),promoter-TSS (NM_024671),-735,NM_024671,79724,,NM_024671,ENSG00000169957,ZNF768,-,zinc finger protein 768,protein-coding
siBAZ2B_3_peak_3468,chr17,27507475,27508046,+,46,NA,promoter-TSS (NM_001346766),promoter-TSS (NM_001346766),-344,NM_203318,399687,,NM_004740,ENSG00000196535,MYO18A,MAJN|MYSPDZ|SP-R210|SPR210|TIAF1,myosin XVIIIA,protein-coding
siBAZ2B_3_peak_3460,chr17,27053646,27054298,+,46,NA,promoter-TSS (NM_001160407),promoter-TSS (NM_001160407),-23,NM_001160407,116238,,NM_138463,ENSG00000160606,TLCD1,-,TLC domain containing 1,protein-coding
siBAZ2B_3_peak_7203,chr6_mann_hap4,2930850,2931253,+,46,NA,promoter-TSS (NM_080686).2,promoter-TSS (NM_080686).2,-325,NM_080686,7916,,NM_004638,ENSG00000204469,PRRC2A,BAT2|D6S51|D6S51E|G2,proline rich coiled-coil 2A,protein-coding
siBAZ2B_3_peak_1728,chr12,7079572,7080029,+,46,NA,promoter-TSS (NM_001144831),promoter-TSS (NM_001144831),27,NM_001144831,11331,,NM_001144831,ENSG00000215021,PHB2,BAP|BCAP37|Bap37|PNAS-141|REA|hBAP|p22,prohibitin 2,protein-coding
siBAZ2B_3_peak_3140,chr16,58663723,58664252,+,46,NA,promoter-TSS (NM_016284),promoter-TSS (NM_016284),-257,NM_206999,23019,,NM_016284,ENSG00000125107,CNOT1,AD-005|CDC39|HPE12|NOT1|NOT1H|VIBOS,CCR4-NOT transcription complex subunit 1,protein-coding
siBAZ2B_3_peak_7941,chr8,87354544,87355107,+,46,NA,promoter-TSS (NM_007013),promoter-TSS (NM_007013),49,NM_007013,11059,,NM_007013,ENSG00000123124,WWP1,AIP5|Tiul1|hSDRP1,WW domain containing E3 ubiquitin protein ligase 1,protein-coding
siBAZ2B_3_peak_3463,chr17,27139331,27139838,+,46,NA,promoter-TSS (NM_001288634),promoter-TSS (NM_001288634),-95,NM_001288634,55731,,NM_018182,ENSG00000173065,FAM222B,C17orf63,family with sequence similarity 222 member B,protein-coding
siBAZ2B_3_peak_5696,chr22,35695795,35696379,+,46,NA,"intron (NR_156428, intron 1 of 13)",CpG,200,NR_024194,10043,,NM_005488,ENSG00000100284,TOM1,IMD85,target of myb1 membrane trafficking protein,protein-coding
siBAZ2B_3_peak_1605,chr11,95522531,95523109,+,46,NA,promoter-TSS (NM_001363604),promoter-TSS (NM_001363604),126,NM_144664,143684,,NM_144664,ENSG00000077458,FAM76B,-,family with sequence similarity 76 member B,protein-coding
siBAZ2B_3_peak_3483,chr17,29814693,29815066,+,46,NA,promoter-TSS (NM_001346748),promoter-TSS (NM_001346748),-247,NM_001346748,84440,,NM_032932,ENSG00000131242,RAB11FIP4,FIP4-Rab11|RAB11-FIP4,RAB11 family interacting protein 4,protein-coding
siBAZ2B_3_peak_1558,chr11,74384031,74384626,+,45,NA,Intergenic,Intergenic,38084,NM_001304417,25884,,NM_015424,ENSG00000054938,CHRDL2,BNF1|CHL2,chordin like 2,protein-coding
siBAZ2B_3_peak_4881,chr2,74648548,74648846,+,45,NA,promoter-TSS (NM_001320823),promoter-TSS (NM_001320823),49,NM_001316765,388963,,NM_001145054,ENSG00000284308,C2orf81,hCG40743,chromosome 2 open reading frame 81,protein-coding
siBAZ2B_3_peak_5718,chr22,39897996,39898627,+,45,NA,promoter-TSS (NM_019008),promoter-TSS (NM_019008),76,NR_130790,54471,,NM_013298,ENSG00000100335,MIEF1,AltMIEF1|D3A|HSU79252|L0R8F8|MID51|MIEF1-MP|OPA14|SMCR7L|dJ1104E15.3,mitochondrial elongation factor 1,protein-coding
siBAZ2B_3_peak_6182,chr3,197463835,197464220,+,45,NA,promoter-TSS (NM_014687),promoter-TSS (NM_014687),-230,NM_001346873,9711,,NM_014687,ENSG00000145016,RUBCN,KIAA0226|RUBICON|SCAR15,rubicon autophagy regulator,protein-coding
siBAZ2B_3_peak_1213,chr11,3876298,3876770,+,45,NA,promoter-TSS (NM_001382568),promoter-TSS (NM_001382568),141,NM_001382579,6786,,NM_003156,ENSG00000167323,STIM1,D11S4896E|GOK|IMD10|STRMK|TAM|TAM1,stromal interaction molecule 1,protein-coding
siBAZ2B_3_peak_7846,chr8,38591976,38592696,+,45,NA,"intron (NR_148047, intron 1 of 1)","intron (NR_148047, intron 1 of 1)",6236,NM_001352792,6867,,NM_006283,ENSG00000147526,TACC1,Ga55,transforming acidic coiled-coil containing protein 1,protein-coding
siBAZ2B_3_peak_173,chr1,31628034,31628338,+,45,NA,Intergenic,CpG,84548,NM_024522,79570,,NM_024522,ENSG00000084628,NKAIN1,FAM77C,sodium/potassium transporting ATPase interacting 1,protein-coding
siBAZ2B_3_peak_6929,chr6,31794834,31795504,+,45,NA,promoter-TSS (NM_005346),promoter-TSS (NM_005346),-346,NM_005346,3304,,NM_005346,ENSG00000204388,HSPA1B,HSP70-1|HSP70-1B|HSP70-2|HSP70.1|HSP70.2|HSP72|HSPA1|HSX70,heat shock protein family A (Hsp70) member 1B,protein-coding
siBAZ2B_3_peak_111,chr1,19811741,19812448,+,45,NA,promoter-TSS (NM_001206540),promoter-TSS (NM_001206540),-61,NM_001313932,832,,NM_004930,ENSG00000077549,CAPZB,CAPB|CAPPB|CAPZ,capping actin protein of muscle Z-line subunit beta,protein-coding
siBAZ2B_3_peak_1692,chr12,2999405,3000173,+,45,NA,promoter-TSS (NM_001160408),promoter-TSS (NM_001160408),-268,NM_003324,7289,,NM_003324,ENSG00000078246,TULP3,HRCDF|TUBL3,TUB like protein 3,protein-coding
siBAZ2B_3_peak_5387,chr20,25676985,25677636,+,45,NA,"intron (NM_015655, intron 1 of 4)",CpG,179,NM_015655,26152,,NM_015655,ENSG00000130684,ZNF337,-,zinc finger protein 337,protein-coding
siBAZ2B_3_peak_4539,chr19,51870626,51871286,+,45,NA,"intron (NM_152353, intron 2 of 3)",CpG-14729,1301,NM_152353,125875,,NM_152353,ENSG00000160318,CLDND2,-,claudin domain containing 2,protein-coding
siBAZ2B_3_peak_8099,chr8,145050799,145051482,+,45,NA,promoter-TSS (NM_000445),promoter-TSS (NM_000445),-227,NM_000445,5339,,NM_000445,ENSG00000178209,PLEC,EBS1|EBS5A|EBS5B|EBS5C|EBS5D|EBSMD|EBSND|EBSO|EBSOG|EBSPA|HD1|LGMD2Q|LGMDR17|PCN|PLEC1|PLEC1b|PLTN,plectin,protein-coding
siBAZ2B_3_peak_8546,chrUn_gl000220,105993,106311,+,45,NA,"non-coding (NR_046235, exon 1 of 1)","non-coding (NR_046235, exon 1 of 1)",728,NR_146144,109864279,,NR_146144,,RNA45SN2,-,"RNA, 45S pre-ribosomal N2",rRNA
siBAZ2B_3_peak_2961,chr16,3030331,3030782,+,45,NA,promoter-TSS (NM_182687),promoter-TSS (NM_182687),-109,NM_182687,9088,,NM_004203,ENSG00000127564,PKMYT1,MYT1|PPP1R126,"protein kinase, membrane associated tyrosine/threonine 1",protein-coding
siBAZ2B_3_peak_7796,chr8,22419199,22419533,+,45,NA,"intron (NM_005775, intron 6 of 20)","intron (NM_005775, intron 6 of 20)",-3876,NM_001018003,10174,,NM_005775,ENSG00000120896,SORBS3,SCAM-1|SCAM1|SH3D4,sorbin and SH3 domain containing 3,protein-coding
siBAZ2B_3_peak_5932,chr3,51976016,51976789,+,44,NA,promoter-TSS (NM_001370240),promoter-TSS (NM_001370240),23,NM_001370239,10039,,NM_005485,ENSG00000041880,PARP3,ADPRT3|ADPRTL2|ADPRTL3|ARTD3|IRT1|PADPRT-3,poly(ADP-ribose) polymerase family member 3,protein-coding
siBAZ2B_3_peak_4473,chr19,49127322,49127704,+,44,NA,promoter-TSS (NM_001204160),promoter-TSS (NM_001204160),-773,NM_001204160,56848,,NM_020126,ENSG00000063176,SPHK2,SK 2|SK-2|SPK 2|SPK-2,sphingosine kinase 2,protein-coding
siBAZ2B_3_peak_5605,chr21,47062988,47063766,+,44,NA,promoter-TSS (NM_001348240),promoter-TSS (NM_001348240),-262,NM_001382282,54039,,NM_020528,ENSG00000183570,PCBP3,ALPHA-CP3|PCBP3-OT1|PCBP3OT,poly(rC) binding protein 3,protein-coding
siBAZ2B_3_peak_113,chr1,21113264,21113577,+,44,NA,promoter-TSS (NM_001376791),promoter-TSS (NM_001376791),-255,NM_016287,50809,,NM_016287,ENSG00000127483,HP1BP3,HP1-BP74|HP1BP74,heterochromatin protein 1 binding protein 3,protein-coding
siBAZ2B_3_peak_6675,chr5,132073066,132073433,+,44,NA,promoter-TSS (NM_001300792),promoter-TSS (NM_001300792),-11,NM_001300792,11127,,NM_007054,ENSG00000131437,KIF3A,FLA10|KLP-20,kinesin family member 3A,protein-coding
siBAZ2B_3_peak_1430,chr11,64577850,64578845,+,44,NA,promoter-TSS (NM_001370263),promoter-TSS (NM_001370263),-134,NM_130802,4221,,NM_000244,ENSG00000133895,MEN1,MEAI|SCG2,menin 1,protein-coding
siBAZ2B_3_peak_107,chr1,17559988,17560382,+,44,NA,"intron (NM_013358, intron 11 of 15)","intron (NM_013358, intron 11 of 15)",-15408,NM_016233,51702,,NM_016233,ENSG00000142619,PADI3,PAD3|PDI3|UHS1,peptidyl arginine deiminase 3,protein-coding
siBAZ2B_3_peak_3404,chr17,17655662,17656031,+,44,NA,"intron (NM_030665, intron 2 of 5)","intron (NM_030665, intron 2 of 5)",13770,NR_130894,100861516,,NR_130894,ENSG00000237328,RAI1-AS1,-,RAI1 antisense RNA 1,ncRNA
siBAZ2B_3_peak_6673,chr5,131831713,131832519,+,44,NA,Intergenic,Intergenic,-5651,NM_001354924,3659,,NM_002198,ENSG00000125347,IRF1,IMD117|IRF-1|MAR,interferon regulatory factor 1,protein-coding
siBAZ2B_3_peak_3882,chr17_ctg5_hap1,594833,595268,+,44,NA,promoter-TSS (NM_015443).2,promoter-TSS (NM_015443).2,336,NR_034172,644246,,NR_034172,ENSG00000214401,KANSL1-AS1,-,KANSL1 antisense RNA 1,ncRNA
siBAZ2B_3_peak_3243,chr16,85645488,85645792,+,44,NA,"intron (NM_001134473, intron 1 of 14)",CpG,625,NM_001134473,23199,,NM_014615,ENSG00000131149,GSE1,CRHSP24|KIAA0182,Gse1 coiled-coil protein,protein-coding
siBAZ2B_3_peak_8741,chrX,114960551,114960894,+,44,NA,"intron (NR_147172, intron 2 of 2)",CpG,3425,NR_147172,106029310,,NR_147172,,DANT1,-,"DXZ4 associated non-coding transcript 1, proximal",ncRNA
siBAZ2B_3_peak_2981,chr16,4784268,4784993,+,44,NA,promoter-TSS (NR_040252),promoter-TSS (NR_040252),92,NM_139170,146562,,NM_139170,ENSG00000166246,DNAAF8,C16orf71|Daap1,dynein axonemal assembly factor 8,protein-coding
siBAZ2B_3_peak_7177,chr6_dbb_hap3,1328217,1328914,+,44,NA,promoter-TSS (NM_021959).5,promoter-TSS (NM_021959).5,-134,NM_021959,6992,,NM_021959,ENSG00000204619,PPP1R11,CFAP255|HCG-V|HCGV|IPP3|TCTE5|TCTEX5,protein phosphatase 1 regulatory inhibitor subunit 11,protein-coding
siBAZ2B_3_peak_1049,chr10,102802623,102802953,+,44,NA,Intergenic,CpG,11792,NM_030971,81855,,NM_030971,ENSG00000107819,SFXN3,BA108L7.2|SFX3|SLC56A3,sideroflexin 3,protein-coding
siBAZ2B_3_peak_7084,chr6,132833856,132834172,+,44,NA,promoter-TSS (NM_001326578),promoter-TSS (NM_001326578),-92,NM_001326578,8417,,NM_003569,ENSG00000079950,STX7,-,syntaxin 7,protein-coding
siBAZ2B_3_peak_1827,chr12,49760808,49761209,+,44,NA,promoter-TSS (NM_023071),promoter-TSS (NM_023071),-237,NM_001293285,65244,,NM_023071,ENSG00000123352,SPATS2,Nbla00526|P59SCR|SCR59|SPATA10,spermatogenesis associated serine rich 2,protein-coding
siBAZ2B_3_peak_4162,chr19,16606954,16607541,+,44,NA,promoter-TSS (NM_001288834),promoter-TSS (NM_001288834),42,NM_001288834,84167,,NM_032207,ENSG00000105072,C19orf44,-,chromosome 19 open reading frame 44,protein-coding
siBAZ2B_3_peak_3827,chr17,77892895,77893203,+,44,NA,promoter-TSS (NR_110851),promoter-TSS (NR_110851),-107,NR_110851,101928738,,NR_110851,ENSG00000262188,LINC01978,-,long intergenic non-protein coding RNA 1978,ncRNA
siBAZ2B_3_peak_2445,chr14,77923784,77924469,+,43,NA,promoter-TSS (NM_001193317),promoter-TSS (NM_001193317),-84,NM_001321441,10598,,NM_012111,ENSG00000100591,AHSA1,AHA1|C14orf3|hAha1|p38,activator of HSP90 ATPase activity 1,protein-coding
siBAZ2B_3_peak_4635,chr2,10183775,10184125,+,43,NA,promoter-TSS (NM_001177718),promoter-TSS (NM_001177718),-6,NM_001177716,8462,,NM_003597,ENSG00000172059,KLF11,FKLF|FKLF1|MODY7|TIEG2|Tieg3,KLF transcription factor 11,protein-coding
siBAZ2B_3_peak_8635,chrX,38662978,38663609,+,43,NA,promoter-TSS (NR_046706),promoter-TSS (NR_046706),-157,NR_046706,100874211,,NR_046706,,MID1IP1-AS1,-,MID1IP1 antisense RNA 1,ncRNA
siBAZ2B_3_peak_5462,chr20,44563216,44564116,+,43,NA,"intron (NM_022104, intron 1 of 16)",CpG,344,NM_022104,63935,,NM_022104,ENSG00000100982,PCIF1,C20orf67|CAPAM|MT-A70|PPP1R121|hCAPAM|hPCIF1,phosphorylated CTD interacting factor 1,protein-coding
siBAZ2B_3_peak_4859,chr2,70475416,70476126,+,43,NA,promoter-TSS (NM_001351523),promoter-TSS (NM_001351523),-11,NR_147219,7072,,NM_022037,ENSG00000116001,TIA1,ALS26|TIA-1|WDM,TIA1 cytotoxic granule associated RNA binding protein,protein-coding
siBAZ2B_3_peak_4451,chr19,48232579,48232883,+,43,NA,"intron (NM_014601, intron 4 of 5)","intron (NM_014601, intron 4 of 5)",16052,NM_014601,30846,,NM_014601,ENSG00000024422,EHD2,PAST2,EH domain containing 2,protein-coding
siBAZ2B_3_peak_737,chr1,229694443,229695046,+,43,NA,promoter-TSS (NM_012089),promoter-TSS (NM_012089),-290,NM_012089,23456,,NM_012089,ENSG00000135776,ABCB10,EST20237|M-ABC2|MTABC2,ATP binding cassette subfamily B member 10,protein-coding
siBAZ2B_3_peak_5422,chr20,34542208,34542761,+,43,NA,promoter-TSS (NM_033630),promoter-TSS (NM_033630),-60,NM_033630,51282,,NM_016558,ENSG00000171222,SCAND1,RAZ1|SDP1,SCAN domain containing 1,protein-coding
siBAZ2B_3_peak_1520,chr11,68039268,68039798,+,43,NA,promoter-TSS (NM_001300913),promoter-TSS (NM_001300913),-92,NM_001300913,53838,,NM_022338,ENSG00000171067,C11orf24,DM4E3,chromosome 11 open reading frame 24,protein-coding
siBAZ2B_3_peak_3172,chr16,68344531,68345157,+,43,NA,promoter-TSS (NM_001351143),promoter-TSS (NM_001351143),5,NM_032178,84138,,NM_032178,ENSG00000103061,SLC7A6OS,EPM12|Iwr1,solute carrier family 7 member 6 opposite strand,protein-coding
